created_ts,process_id,file_id,status,contract_id,served_itsi,served_cc,served_nc,served_msisdn,org_level_main,org_sublevel1,org_sublevel2,org_sublevel3,org_sublevel4,org_sublevel5,other_party_type,other_party,other_party_itsi,other_party_cc,other_party_nc,dialled_number,call_ref,source_dxt,dxt_seq_nr,connected_number,connected_nitsi,connection_group,served_party_dxt_id,a_location_area,a_cell_id,sds_service_type,sds_type,sds_length,sds_timestamp,cells_distributed,cells_reached,dispatchers_reached,sds_result,ss_records,num_groups,part_group1,part_group2,part_group3,part_group4,part_group5,part_group6,part_group7,part_group8,event_time_hour,call_type,forward_number,trans_forw_number,trans_rep_flag,message_reference,sending_profile,target_dxt_id,target_loc_area,target_channel_type,sdstl_protocol_id,diagnostics
2017-10-15 14:01:14.59,11,1038,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,644C99F0,123123,19624,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 08:57:24.64,1,1,0,0,,,"","","","","","","","",2017-10-15 08:00:00,SDS,"","",1,203,-1,123123,1035,1,130,0
2017-10-15 14:01:14.39,11,1038,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,644C9895,123123,19241,0426000111008947,0426000111008947,65535,123123,1003,1,1,3,120,2017-10-15 08:57:02.49,1,1,0,0,,,"","","","","","","","",2017-10-15 08:00:00,SDS,"","",0,221,-1,123123,1035,1,130,0
2017-10-15 14:01:14.22,11,1038,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,644C978E,123123,18944,0426000111008947,0426000111008947,65535,123123,1003,1,1,3,72,2017-10-15 08:56:44.86,1,1,0,0,,,"","","","","","","","",2017-10-15 08:00:00,SDS,"","",0,220,-1,123123,1035,1,130,0
2017-10-15 14:01:41.77,11,1046,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,643ECC9E,123123,808,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-14 12:29:43.08,1,1,0,0,,,"","","","","","","","",2017-10-14 12:00:00,SDS,"","",1,208,-1,123123,1035,0,130,0
2017-10-15 14:02:35.9,11,1076,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,6419AAF1,123123,65036,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,112,2017-10-12 06:56:52.64,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",0,204,-1,123123,1003,1,130,0
2017-10-15 14:02:35.92,11,1076,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,6419AB0E,123123,65070,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,112,2017-10-12 06:56:54.17,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",0,205,-1,123123,1003,1,130,0
2017-10-15 14:02:35.94,11,1076,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,6419AB2C,123123,65099,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,112,2017-10-12 06:56:55.58,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",0,206,-1,123123,1003,1,130,0
2017-10-15 14:02:35.96,11,1076,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,6419AB4C,123123,65136,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,112,2017-10-12 06:56:57.4,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",0,207,-1,123123,1003,1,130,0
2017-10-15 14:03:59.31,11,1085,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,641BD975,123123,28077,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,112,2017-10-12 09:44:01.22,1,1,0,0,,,"","","","","","","","",2017-10-12 09:00:00,SDS,"","",0,208,-1,123123,1003,1,130,0
2017-10-15 14:03:59.5,11,1085,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,641BDA8B,123123,28395,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,168,2017-10-12 09:44:20.04,1,1,0,0,,,"","","","","","","","",2017-10-12 09:00:00,SDS,"","",0,209,-1,123123,1003,1,130,0
